,state,rate,id
0,Arizona,214,04
1,California,1335424,06
2,Colorado,367875,08
3,District of Columbia,190991,11
4,Florida,128731,12
5,Georgia,41307,13
6,Hawaii,14966,15
7,Indiana,98942,18
8,Iowa,16875,19
9,Kansas,45148,20
10,Kentucky,32711,21
11,Louisiana,105813,22
12,Maryland,121296,24
13,Massachusetts,18787,25
14,Michigan,105324,26
15,Minnesota,190766,27
16,Missouri,83594,29
17,Nevada,39193,32
18,New Jersey,774,34
19,New Mexico,2502,35
20,New York,197051,36
21,North Carolina,22619,37
22,Ohio,151937,39
23,Oklahoma,10000,40
24,Oregon,218602,41
25,Pennsylvania,45703,42
26,Rhode Island,24525,44
27,South Dakota,63024,46
28,Tennessee,12059,47
29,Texas,271854,48
30,Virginia,3272,51
31,Washington,165623,53
32,Wisconsin,128302,55
