January,February,March,April,May,June,July,August,September,October,November,December,year,state
43.6,59.1,69.4,78.5,85.2,92.6,93.0,90.4,85.9,72.9,65.9,56.0,1977,Alabama
54.4,59.6,70.0,71.9,84.7,88.0,90.0,88.8,84.2,76.7,66.7,62.0,1982,Alabama
53.5,58.0,67.7,74.6,84.5,87.9,91.8,92.6,85.9,74.2,69.0,61.5,1987,Alabama
54.3,63.5,67.8,74.5,81.0,85.4,89.9,85.7,83.0,74.4,63.2,55.9,1992,Alabama
56.0,60.8,74.0,71.6,79.2,82.9,90.2,88.4,87.2,75.8,60.7,54.8,1997,Alabama
58.3,58.8,68.4,78.1,82.3,88.5,90.8,90.8,86.9,75.8,62.1,56.3,2002,Alabama
57.0,57.6,74.6,73.2,85.3,91.8,89.3,96.8,87.5,78.3,67.4,62.6,2007,Alabama
62.3,62.3,76.3,77.6,85.3,88.4,92.3,87.9,84.1,74.4,65.5,61.8,2012,Alabama
62.9,67.8,70.7,80.3,81.9,84.9,90.7,88.0,84.5,77.2,68.1,56.8,2017,Alabama
55.8,62.9,71.1,75.5,84.8,91.9,91.6,88.4,85.5,75.6,66.8,58.8,2022,Alabama
51.0,62.1,60.6,74.0,76.3,92.8,93.9,92.4,86.9,77.9,66.3,59.8,1977,Arizona
52.6,57.3,61.2,71.6,79.2,89.2,92.7,90.5,85.2,73.9,59.2,51.6,1982,Arizona
52.8,56.2,60.7,76.2,79.4,92.9,93.1,90.5,86.3,79.1,60.9,50.8,1987,Arizona
51.0,58.2,62.0,76.8,80.4,89.4,92.2,90.9,88.4,78.8,59.4,49.1,1992,Arizona
52.7,58.2,71.2,70.1,86.4,89.9,94.9,92.3,87.9,75.0,64.7,50.8,1997,Arizona
55.6,62.0,65.7,77.9,84.3,96.3,96.6,94.8,87.5,73.8,65.0,52.7,2002,Arizona
51.6,60.0,69.6,74.5,84.3,94.3,95.9,93.5,87.7,77.7,70.1,51.4,2007,Arizona
59.4,59.3,67.1,76.4,86.1,95.8,93.0,93.8,87.5,79.5,68.9,54.6,2012,Arizona
52.4,61.3,72.1,75.7,81.8,97.0,94.9,93.0,86.9,81.3,72.3,61.1,2017,Arizona
57.2,58.9,66.8,77.1,85.5,94.2,95.3,90.9,89.1,75.0,59.8,54.7,2022,Arizona
37.4,56.4,66.7,75.6,84.1,90.8,92.4,90.3,85.9,73.8,61.0,51.3,1977,Arkansas
46.7,48.9,65.8,68.1,82.2,84.3,91.2,89.8,83.3,73.9,60.3,55.1,1982,Arkansas
48.2,55.1,64.6,74.9,84.5,88.1,90.4,93.5,85.1,71.6,62.3,52.7,1987,Arkansas
50.3,59.7,64.3,72.5,78.0,83.8,89.0,84.5,81.7,75.2,57.4,50.0,1992,Arkansas
48.3,54.8,67.2,67.4,78.0,84.6,92.6,88.3,85.5,73.0,56.1,48.6,1997,Arkansas
53.5,53.6,59.1,74.7,77.3,87.1,90.4,90.5,86.7,69.4,59.3,52.1,2002,Arkansas
48.7,51.4,71.6,69.3,81.9,87.3,87.1,95.9,84.8,75.2,63.7,54.0,2007,Arkansas
55.8,56.7,74.0,75.9,85.2,90.9,95.8,92.4,84.4,70.8,63.4,56.6,2012,Arkansas
54.3,63.6,67.2,75.3,79.0,85.4,90.6,85.5,84.9,76.1,65.0,52.4,2017,Arkansas
50.9,54.3,65.1,71.2,81.3,89.2,95.5,89.0,86.7,75.6,60.6,52.0,2022,Arkansas
51.1,61.8,57.1,71.1,65.9,85.6,90.2,89.0,81.0,74.7,63.1,56.2,1977,California
50.0,57.2,56.2,63.8,75.6,79.3,87.3,88.1,79.6,70.7,56.1,51.3,1982,California
51.5,56.9,59.4,74.1,76.7,85.8,85.2,89.5,84.8,77.0,59.2,49.1,1987,California
53.1,58.3,60.7,72.0,80.9,82.5,87.7,91.2,85.7,75.6,60.8,49.3,1992,California
52.9,57.7,67.7,68.1,81.8,81.8,88.8,89.3,84.3,72.1,61.4,51.7,1997,California
52.5,60.7,61.0,68.7,75.5,86.5,92.6,90.0,86.0,73.2,64.0,52.9,2002,California
53.6,57.0,68.0,69.4,78.6,85.9,91.8,91.1,81.5,71.1,65.6,50.7,2007,California
58.6,58.0,60.4,68.4,78.6,84.3,89.6,92.8,88.3,75.4,63.6,51.8,2012,California
50.3,55.6,65.1,67.7,77.2,87.3,93.7,92.1,83.1,76.5,63.7,59.7,2017,California
